Particulars,STANDALONE,col_2
,FY 2024-25,FY 2023-24
Turnover including trial run sales,18287.57,23167.76
"Profit before finance charges, Tax, Depreciation/Amortisation (PBITDA)",-1508.44,-1835.97
Less: Finance Charges,2171.75,2173.03
Profit before Depreciation/Amortisation (PBTDA),-3680.19,-4027.0
Less: Depreciation,1161.24,1294.18
Profit before exceptional items,-4841.43,-5321.18
Less: Exceptional items,190.56,-102.72
Net Profit before Taxation (PBT),-5031.99,-5218.46
Provision for taxation,-3643.37,-369.6
Profit/(Loss) after Taxation (PAT),-1388.62,-4848.86
Provision for proposed dividend,,
Transfer to General Reserve,,
