Ratio,FY 2024-25
Gross Profit Margin (%),-15.64
Net Profit Margin (%),-7.59
EBITDA Margin (%),-8.25
ROCE (%),-22.34
RONW (%),-122.13
ROA (%),-3.97
Current Ratio,0.35
Quick Ratio,0.12
Cash Ratio,0.01
Working Capital (Crs),-15339.46
Debt to Equity,10.27
Debt to Capital Employed,0.91
Interest Coverage,-0.69
Net Debt (Crs),11469.27
Asset Turnover,0.52
Inventory Turnover,3.28
Receivables Turnover,70.69
Sales to Capital Employed,1.43
Revenue Growth (%),-21.06
EBITDA Growth (%),17.84
PAT Improvement (%),71.36
