Page,Risk Category,Severity,Sentiment,Text,Likelihood
51,General Risk,0.0,0.0,"The Management Discussion and Analysis Report (MDAR), providing a comprehensive analysis of the Company’s",10.0
51,General Risk,0.3,0.0,"performance, industry structure, opportunities, threats, outlook, risks, internal controls and financials, is enclosed",10.0
51,General Risk,0.3,0.0,Your Company strives to attain highest standards of Corporate Governance. In line with the Guidelines issued,10.0
51,General Risk,0.0,0.0,"by Department of Public Enterprises (DPE), which have become mandatory from May, 2010, a separate section",10.0
51,General Risk,0.0,0.0,on Corporate Governance is annexed and forms part of the Directors’ Report vide Annexure-II to this Report.,10.0
51,Regulatory Risk,0.4,0.0,"In compliance with the DPE Guidelines, a certificate signed by the Chairman-cum-Managing Director (CMD) as",5.3
51,Financial Risk,0.4,0.0,Chief Executive Officer (CEO) and Head of the Finance (HoD-Finance) as Chief Financial Officer (CFO) forms,1.4
51,General Risk,0.0,0.0,part of the Corporate Governance Report. A declaration by the Chairman & Managing Director (CMD) regarding,10.0
51,Regulatory Risk,0.4,0.0,compliance with the Code of Conduct for Board Members and Senior Management is also forming part of,5.3
51,Regulatory Risk,0.4,0.5,"Your Company has been awarded “Excellent” grading by the Department of Public Enterprises (DPE), Ministry",5.3
51,Financial Risk,0.4,0.0,"of Finance, for six consecutive years from FY 2017–18 to FY 2022–23, based on the compliance with Corporate",1.4
51,General Risk,0.0,0.0,"Governance Guidelines issued in May 2010 (vide O.M. No. 18(8)/2005-GM dated 14th May, 2010) and subsequent",10.0
51,Regulatory Risk,0.4,0.0,"The Annual Score and Grading of RINL, on the basis of compliance with the Guidelines on Corporate Governance",5.3
51,General Risk,0.0,0.0,"for Central Public Sector Enterprises (CPSEs) issued by the Department of Public Enterprises (DPE), was self-",10.0
51,General Risk,0.0,0.5,evaluated as “Excellent” for the Financial Years 2023–24 and 2024–25.,10.0
51,Regulatory Risk,0.4,0.0,"A certificate on the compliance of Corporate Governance Guidelines issued by DPE for the FY 2024-25, issued",5.3
51,General Risk,0.0,0.0,"by a Practicing Company Secretary, is annexed as Annexure–IV to this Report.",10.0
51,General Risk,0.0,0.017,"The Annual Report on Corporate Social Responsibility (CSR) activities, pursuant to Rule 8 of the Companies",10.0
51,Regulatory Risk,0.4,0.017,"(Corporate Social Responsibility Policy) Rules, 2014, is enclosed at Annexure–V to this Report.",5.3
51,General Risk,0.0,0.0,"Pursuant to Section 92(3) of the Companies Act, 2013, a copy of the Annual Return in Form MGT-7 for the FY",10.0
51,General Risk,0.0,0.0,2024–25 is placed on the Company’s website and can be accessed at,10.0
51,Regulatory Risk,0.4,0.0,https://www.vizagsteel.com/myindex.asp?tm=1&url=insiderinl/FinancialPerformance.asp,5.3
51,General Risk,0.0,0.0,"During the year, Twelve (12) meetings of the Board of Directors were held. The details of the meetings and",10.0
51,General Risk,0.0,0.0,"attendance of the Directors are provided in the Corporate Governance Report, which forms part of this Directors’",10.0
51,Technology Risk,0.4,0.2,"The composition of the Audit Committee, as well as the scope of its responsibilities, is detailed in the Corporate",2.4
51,Technology Risk,0.4,0.0,Governance Report forming part of this Report. All recommendations made by the Audit Committee were accepted,2.4
51,Technology Risk,0.4,0.0,by the Board. The minutes of the Audit Committee meetings were placed regularly before the Board for,2.4
52,General Risk,0.0,0.0,"The tenure of existing two independent directors on the RINL Board was ended on 31st October 2024. Consequently,",10.0
52,General Risk,0.0,0.0,"with effect from 01st November 2024, RINL Board continued without any independent directors. As a result, three",10.0
52,Technology Risk,0.4,0.0,"Board Sub-Committees - Audit Committee, CSR&S Committee, and Nomination and Remuneration Committee",2.4
52,General Risk,0.5,-0.125,"(NRC)-became non-functional due to lack of quorum. Therefore, the Board of Directors of RINL in its 366th meeting",10.0
52,General Risk,0.0,0.0,"held on 23rd November 2024 resolved that, as an interim measure, all proposals that are otherwise routed through,",10.0
52,Regulatory Risk,0.4,0.0,"or require approval of, Board sub-committees viz. Audit Committee, CSR Committee, and Nomination &",5.3
52,Regulatory Risk,0.4,0.1,"Remuneration Committee (NRC), shall be placed directly before the Board for its consideration and approval,",5.3
52,Geopolitical Risk,0.4,0.0,"Shri Prateek Tanwar was appointed as Independent Director on the Board of RINL with effect from 16th May,",0.2
52,General Risk,0.0,0.0,"2025. Subsequent to this appointment, the Board, in its 376th Meeting held on 31st July, 2025, approved the",10.0
52,General Risk,0.0,0.0,"reconstitution of the CSR & Sustainability Committee (CSR & S). With this reconstitution, the Committees have",10.0
52,Regulatory Risk,0.4,0.0,"resumed their functioning in compliance with the applicable provisions of the Companies Act, 2013 and the",5.3
52,General Risk,0.0,0.0,Guidelines on Corporate Governance issued by the Department of Public Enterprises (DPE).,10.0
52,Technology Risk,0.4,0.0,"The RINL Board, in its 377th Meeting held on 08th August, 2025, approved the reconstitution of the Audit Committee",2.4
52,General Risk,0.0,0.0,The details about aforesaid reconstitution of board sub-committees were given in the Corporate Governance Report,10.0
52,General Risk,0.0,0.0,"Pursuant to Section 134(3)(c) & Section 134(5) of the Companies Act, 2013, the Directors state that:",10.0
52,General Risk,0.0,0.0,"a) in the preparation of the Annual Accounts, the applicable Accounting Standards had been followed along",10.0
52,General Risk,0.0,0.125,b) the Directors had selected such accounting policies and applied them consistently and made judgments,10.0
52,General Risk,0.0,0.417,and estimates that are reasonable and prudent so as to give a true and fair view of the state of affairs,10.0
52,Financial Risk,0.4,0.0,of the Company at the end of the financial year and of the profit or loss of the Company for that period;,1.4
52,Operational Risk,0.4,0.167,c) the Directors had taken proper and sufficient care for the maintenance of adequate accounting records,2.0
52,General Risk,0.0,0.0,in accordance with the provisions of this Act for safeguarding the assets of the Company and for preventing,10.0
52,Regulatory Risk,0.7,0.0,d) the Directors had prepared the Annual Accounts on a “going concern” basis;,5.3
52,General Risk,0.0,0.0,e) this sub-clause is not applicable being an unlisted company; and,10.0
52,Regulatory Risk,0.8,0.0,f) the Directors had devised proper systems to ensure compliance with the provisions of all applicable laws,5.3
52,Technology Risk,0.4,0.311,and that such systems were adequate and operating effectively.,2.4
52,General Risk,0.0,0.0,"In terms of Section 149(7) of the Companies Act, 2013, necessary declarations have been received from each",10.0
52,General Risk,0.31,-0.078,"independent director, confirming that they meet the criteria of independence as laid down in sub-section (6) of",10.0
52,General Risk,0.0,0.0,Your Company has constituted the Nomination and Remuneration Committee in accordance with Section 178(1),10.0
52,General Risk,0.0,0.0,"of the Companies Act, 2013. Being a Central Public Sector Enterprise (CPSE), the appointment and remuneration",10.0
52,General Risk,0.0,0.227,"of directors, including the criteria for determining qualifications, positive attributes and independence of a director",10.0
53,Regulatory Risk,0.65,-0.062,and other related matters as provided under sub-section (3) of Section 178 are decided by the Government of,5.3
53,Regulatory Risk,0.4,0.0,"India. Furthermore, as per MCA Notification No. G.S.R. 463(E) dated 5th June, 2015, Government Companies",5.3
53,Regulatory Risk,0.4,0.0,are exempted from framing the Appointment and Remuneration Policy.,5.3
53,General Risk,0.0,0.0,"In accordance with Section 186 of the Companies Act, 2013 read with the Companies (Meetings of Board and",10.0
53,Financial Risk,0.4,0.0,"its Powers) Rules, 2014, the details of loans, guarantees and investments made during the financial year ended",1.4
53,General Risk,0.0,0.0,"31st March, 2025, are provided in note nos. 6, 7A, 7B, 9 & 14. Details of Investments are provided in note no.",10.0
53,General Risk,0.0,0.0,5 of the notes to accounts annexed to the financial statements.,10.0
53,General Risk,0.0,0.0,All transactions with related parties have been disclosed in the financial statements. Particulars of contracts or,10.0
53,General Risk,0.0,0.0,"arrangements with related parties referred to in Section 188(1) of the Companies Act, 2013 are disclosed in note",10.0
53,General Risk,0.0,0.0,"no. 52 of the notes to accounts annexed to the Financial Statements. During the financial year 2024–25, all related",10.0
53,General Risk,1.0,-0.25,party transactions entered into by the Company were in the ordinary course of business and at arm’s length,10.0
53,General Risk,0.0,0.0,"basis. Accordingly, there were no transactions requiring disclosure under Section 188(1) of the Companies Act,",10.0
53,General Risk,0.0,0.0,"2013 read with Rule 8(2) of the Companies (Accounts) Rules, 2014. Further, the details of related party transaction",10.0
53,Regulatory Risk,0.4,0.2,in Form AOC-2 is also annexed to this report. The Policy relating to Related Party Transactions is available on,5.3
53,Regulatory Risk,0.8,0.0,Company’s website at https://www.vizagsteel.com/insiderinl/RPT_Policy.pdf,5.3
53,General Risk,0.0,0.0,Details regarding the affairs of the Company during the year under review are elaborated in the preceding sections,10.0
53,General Risk,0.0,0.0,There was no transfer to reserves during the financial year under review.,10.0
53,Technology Risk,0.9,-0.125,"CONSERVATION OF ENERGY, TECHNOLOGY ABSORPTION, FOREIGN EXCHANGE EARNINGS AND OUTGO.",2.4
53,General Risk,0.0,0.0,"In accordance with the provisions of Section 134(3)(m) of the Companies Act, 2013 read with Rule 8 of the",10.0
53,Technology Risk,0.4,0.0,"Companies (Accounts) Rules, 2014, the particulars relating to Conservation of Energy, Technology Absorption",2.4
53,General Risk,0.5,-0.125,and Foreign Exchange Earnings and Outgo are provided in Annexure-VI to this Report.,10.0
53,Regulatory Risk,0.7,0.0,"Your Company has in place a Board approved Enterprise Risk Management Policy, which is hosted on the",5.3
53,Regulatory Risk,0.7,0.0,"Company’s website. As per the policy, risk profiles are identified across both Works and Non-Works Departments",5.3
53,General Risk,0.6,0.0,by an internal implementation team. The identified risks are monitored by the concerned Heads of Departments,10.0
53,General Risk,0.0,0.0,"ANNUAL EVALUATION OF PERFORMANCE OF THE BOARD, COMMITTEES AND INDIVIDUAL DIRECTORS",10.0
53,General Risk,0.0,0.0,"As per MCA Notifications No. G.S.R. 463(E) dated 05th June, 2015 and G.S.R. 584(E) dated 05th July, 2017,",10.0
53,Regulatory Risk,0.4,0.0,"Government Companies are exempted from conducting the Annual Evaluation of the Performance of the Board,",5.3
54,General Risk,0.0,0.0,The details of Directors and Key Managerial Personnel (KMPs) who were appointed or ceased to be Directors,10.0
54,General Risk,0.0,0.0,and KMPs during the financial year and up to the date of this Report are as under:,10.0
54,General Risk,0.0,0.0,Shri Chaluvadi Sree Rama Venkata Gopala Krishna Ganesh (DIN: 10577869) 03.04.2024,10.0
54,General Risk,0.0,0.0,Shri Ghantasala Venkata Nagambica Prasad (DIN: 10612236) 01.05.2024,10.0
54,Financial Risk,0.4,0.0,"Shri Hemant Kumar Jha DGM (F&A), HoD (Finance) & CFO 21.05.2025",1.4
54,General Risk,0.0,0.0,Shri Chaluvadi Sree Rama Venkata Gopala Krishna Ganesh (DIN: 10577869) 30.04.2025,10.0
54,General Risk,0.3,0.0, Financials: Financial summary/highlights are provided separately in earlier sections of this Report.,10.0
54,General Risk,0.0,0.0," ESOPs / Sweat Equity Shares: Your Company has not issued equity shares with differential rights, sweat",10.0
54,General Risk,0.0,0.0, Change in nature of business: There has been no change in the nature of business during the year.,10.0
54,General Risk,0.0,0.0,The Company continues to operate in the field of Iron & Steel and its by-products.,10.0
55,Regulatory Risk,0.4,0.0," Particulars of Employees: Being a Government Company, your Company is exempted from the provisions",5.3
55,General Risk,0.0,0.0,"of Section 197 of the Companies Act, 2013 and related rules, as per MCA Notification No. G.S.R. 463(E)",10.0
55,General Risk,0.0,0.0, Subsidiaries / Joint Ventures: There were no Subsidiaries or Joint Ventures that ceased to be so during,10.0
55,General Risk,0.3,0.0, Material Changes and Commitments: No material changes or commitments affecting the financial,10.0
55,General Risk,0.0,0.0,"position of the Company have occurred between the end of the financial year (31st March, 2025) and the",10.0
55,General Risk,0.6,0.094," Significant and Material Orders: No significant or material orders were passed by any regulators, courts,",10.0
55,Operational Risk,1.0,0.0,or tribunals impacting the going concern status or future operations of the Company during the year.,2.0
